,Country,City,Date,Max Temp,Cloudiness,Humidity,Lat,Lng,Wind Speed
245,OM,Ruwi,1651939409,87.33,0,52,23.5996,58.5507,7.63
246,NG,Yenagoa,1651939409,82.99,100,78,4.9247,6.2642,5.39
247,IN,Sarāhan,1651939410,57.15,56,55,31.5167,77.8,5.28
248,CL,Lebu,1651939253,58.82,24,66,-37.6167,-73.65,5.82
249,AO,Luena,1651939411,71.67,95,59,-11.7833,19.9167,3.53
250,LY,Awjilah,1651939411,90.09,100,14,29.1081,21.2869,10.67
251,UY,Artigas,1651939394,69.12,14,65,-30.4,-56.4667,7.05
252,RU,Abalak,1651939412,41.18,99,89,58.1286,68.5944,7.49
253,BR,Feijó,1651939412,84.94,95,57,-8.1642,-70.3536,3.69
254,PH,Araceli,1651939413,84.81,44,77,10.5529,119.9913,14.79
255,SS,Raja,1651939414,81.73,100,60,8.4596,25.678,7.45
256,RU,Syas'stroy,1651939414,53.82,40,77,60.1367,32.5691,13.71
257,IT,Laas,1651939328,56.7,99,88,46.6166,10.7002,4.65
258,CL,Iquique,1651939197,64.44,43,68,-20.2208,-70.1431,6.53
259,BR,Caravelas,1651939382,77.49,45,88,-17.7125,-39.2481,11.21
260,MZ,Beira,1651939318,73.49,0,83,-19.8436,34.8389,6.91
261,GB,Ayr,1651939416,59.31,0,67,55.4627,-4.6339,3.44
262,EC,Muisne,1651939416,81.81,31,72,0.6,-80.0333,5.12
263,CA,Tuktoyaktuk,1651939237,29.03,100,91,69.4541,-133.0374,6.4
264,PE,Pisco,1651939225,69.03,25,85,-13.7,-76.2167,6.31
265,PT,Castelo Branco,1651939246,80.01,78,26,39.8222,-7.4909,4.12
266,ID,Labuhan,1651939417,80.33,79,85,-6.8844,112.2051,4.23
267,US,Ketchikan,1651939297,43.95,45,75,55.3422,-131.6461,4.7
268,JP,Inawashiro,1651939418,56.77,100,95,37.5667,140.1167,10.98
269,RU,Izhma,1651939419,41.11,81,96,65.0083,53.9113,6.22
270,MZ,Lichinga,1651939419,69.89,75,68,-13.3128,35.2406,2.3
271,PG,Kavieng,1651939247,82.47,54,80,-2.5744,150.7967,16.08
272,SA,Faya,1651939420,69.17,7,54,18.3851,42.4509,6.6
273,LK,Matara,1651939421,80.67,38,88,5.9485,80.5353,9.51
274,US,Houma,1651939262,84.02,40,76,29.5958,-90.7195,6.91
275,MU,Bambous Virieux,1651939416,78.22,75,88,-20.3428,57.7575,14.97
276,CN,Baoma,1651939422,74.75,60,66,31.4859,106.1128,7.2
277,TM,Akdepe,1651939422,71.06,56,65,42.0551,59.3788,22.66
278,NA,Lüderitz,1651939404,62.06,0,60,-26.6481,15.1594,26.69
279,JP,Wajima,1651939423,53.51,100,67,37.4,136.9,9.26
280,AO,Ondjiva,1651939397,79.23,6,26,-17.0667,15.7333,3.8
281,US,Belle Fourche,1651939424,77.05,100,24,44.6714,-103.8522,19.48
282,BR,Cidreira,1651939378,66.79,6,63,-30.1811,-50.2056,4.76
283,GL,Upernavik,1651939425,18.72,3,65,72.7868,-56.1549,5.64
284,US,Dickson,1651939425,58.14,75,95,36.077,-87.3878,9.22
285,US,Rapid Valley,1651939426,75.33,0,51,44.0625,-103.1463,14.97
286,TD,Massakory,1651939426,104.95,97,17,12.996,15.7293,12.91
287,PE,Pimentel,1651939427,68.81,6,77,-6.8367,-79.9342,12.75
288,NU,Alofi,1651939316,79.93,80,78,-19.0595,-169.9187,10.54
289,PG,Lorengau,1651939270,82.47,88,81,-2.0226,147.2712,14.14
290,WS,Lufilufi,1651939428,82.33,12,76,-13.8745,-171.5986,9.78
291,PH,Sarangani,1651939253,82.96,80,80,5.4033,125.4636,20.8
292,TC,Cockburn Town,1651939167,82.36,40,74,21.4612,-71.1419,11.5
293,SE,Piteå,1651939429,50.09,91,49,65.3172,21.4794,12.28
294,RU,Ous,1651939430,42.46,100,90,60.9058,61.5186,5.46
295,TR,Samsun Province,1651939228,54.48,100,63,41.25,36.3333,6.55
296,MG,Morondava,1651939430,79.12,1,76,-20.2833,44.2833,11.39
297,GA,Mounana,1651939431,70.97,100,98,-1.4085,13.1586,3.71
298,NE,Gouré,1651939433,102.02,60,12,13.9835,10.2704,4.74
299,NO,Honningsvåg,1651939434,37.15,75,87,70.9821,25.9704,14.97
300,UY,Rocha,1651939434,72.18,0,55,-34.4833,-54.3333,1.88
301,CL,Taltal,1651939302,63.9,99,73,-25.4,-70.4833,6.11
302,ES,Bereda,1651939373,76.41,79,38,43.2686,-7.5406,6.73
303,CI,Tabou,1651939375,84.42,87,71,4.423,-7.3528,8.03
304,AR,Viedma,1651939436,73.89,22,29,-40.8135,-62.9967,19.93
305,CN,Lianhe,1651939436,35.53,41,96,47.1333,129.2667,3.53
306,RU,Ossora,1651939437,30.88,100,99,59.2353,163.0719,4.68
307,AE,Abu Dhabi,1651939215,86.97,0,65,24.4667,54.3667,16.75
308,RU,Suntar,1651939339,34.59,94,92,62.1444,117.6319,5.82
309,DO,Baní,1651939438,85.44,22,67,18.2833,-70.3333,8.19
310,KZ,Petropavl,1651939438,44.08,11,36,54.8753,69.1628,4.92
311,ZM,Kalabo,1651939439,76.28,73,42,-14.97,22.6814,1.54
312,MY,Labuan,1651939439,83.14,100,77,5.2767,115.2417,3.89
313,MX,Celestún,1651939440,88.16,26,61,20.8667,-90.4,5.23
314,US,Fortuna,1651939321,52.66,75,96,40.5982,-124.1573,8.05
315,RU,Kholtoson,1651939441,47.75,1,48,50.2981,103.3097,3.58
316,CO,Puerto Colombia,1651939442,83.82,70,69,10.9878,-74.9547,0.54
317,CA,Shaunavon,1651939298,47.37,100,71,49.6501,-108.4181,6.62
318,GH,Takoradze,1651939443,81.81,88,76,4.8845,-1.7554,6.42
319,US,Lompoc,1651939223,63.84,40,88,34.6391,-120.4579,11.5
320,RU,Omsukchan,1651939443,18.93,100,97,62.5333,155.8,2.62
321,MY,Marabu,1651939401,79.07,100,89,4.4148,114.0089,2.86
